22:01:09,375 - [main] DEBUG com.Technion.ie.BaseLine.CkyAlg  - [What, animal, do, buffalo, wings, come, from, ?]
22:01:30,935 - [main] INFO  com.Technion.ie.BaseLine.CkyAlg  - Max Vaule for:pi(0,1,VERB) = [VERB,,]
22:01:30,937 - [main] INFO  com.Technion.ie.BaseLine.CkyAlg  - value for pi(0,1,VERB) :is-1.0
22:01:30,944 - [main] INFO  com.Technion.ie.BaseLine.CkyAlg  - checking:pi(0,1,ADVP+ADV) = q(ADVP+ADV->,)
22:01:30,946 - [main] INFO  com.Technion.ie.BaseLine.CkyAlg  - Max Vaule for:pi(0,1,ADVP+ADV) = [ADVP+ADV,,]
22:01:30,948 - [main] INFO  com.Technion.ie.BaseLine.CkyAlg  - value for pi(0,1,ADVP+ADV) :is-1.0
22:01:30,968 - [main] INFO  com.Technion.ie.BaseLine.CkyAlg  - checking:pi(0,1,NP+ADJ) = q(NP+ADJ->,)
22:01:30,970 - [main] INFO  com.Technion.ie.BaseLine.CkyAlg  - Max Vaule for:pi(0,1,NP+ADJ) = [NP+ADJ,,]
22:01:30,971 - [main] INFO  com.Technion.ie.BaseLine.CkyAlg  - value for pi(0,1,NP+ADJ) :is-1.0
22:01:30,979 - [main] INFO  com.Technion.ie.BaseLine.CkyAlg  - checking:pi(0,1,NP+NOUN) = q(NP+NOUN->,)
22:01:30,980 - [main] INFO  com.Technion.ie.BaseLine.CkyAlg  - Max Vaule for:pi(0,1,NP+NOUN) = [NP+NOUN,,]
22:01:30,981 - [main] INFO  com.Technion.ie.BaseLine.CkyAlg  - value for pi(0,1,NP+NOUN) :is-1.0
22:01:30,992 - [main] INFO  com.Technion.ie.BaseLine.CkyAlg  - checking:pi(0,1,NP+S) = q(NP+S->,)
22:01:30,993 - [main] INFO  com.Technion.ie.BaseLine.CkyAlg  - Max Vaule for:pi(0,1,NP+S) = [NP+S,,]
22:01:30,995 - [main] INFO  com.Technion.ie.BaseLine.CkyAlg  - value for pi(0,1,NP+S) :is-1.0
22:01:31,012 - [main] INFO  com.Technion.ie.BaseLine.CkyAlg  - checking:pi(0,1,NP+NP) = q(NP+NP->,)
22:01:31,014 - [main] INFO  com.Technion.ie.BaseLine.CkyAlg  - Max Vaule for:pi(0,1,NP+NP) = [NP+NP,,]
22:01:31,015 - [main] INFO  com.Technion.ie.BaseLine.CkyAlg  - value for pi(0,1,NP+NP) :is-1.0
22:01:31,023 - [main] INFO  com.Technion.ie.BaseLine.CkyAlg  - checking:pi(0,1,ADJP+ADJ) = q(ADJP+ADJ->,)
22:01:31,024 - [main] INFO  com.Technion.ie.BaseLine.CkyAlg  - Max Vaule for:pi(0,1,ADJP+ADJ) = [ADJP+ADJ,,]
22:01:31,026 - [main] INFO  com.Technion.ie.BaseLine.CkyAlg  - value for pi(0,1,ADJP+ADJ) :is-1.0
22:01:31,060 - [main] INFO  com.Technion.ie.BaseLine.CkyAlg  - checking:pi(0,1,NP+PRON) = q(NP+PRON->,)
22:01:31,061 - [main] INFO  com.Technion.ie.BaseLine.CkyAlg  - Max Vaule for:pi(0,1,NP+PRON) = [NP+PRON,,]
22:01:31,062 - [main] INFO  com.Technion.ie.BaseLine.CkyAlg  - value for pi(0,1,NP+PRON) :is-1.0
22:01:31,187 - [main] INFO  com.Technion.ie.BaseLine.CkyAlg  - checking:pi(0,1,ADJP) = q(ADJP->,)
22:01:31,189 - [main] INFO  com.Technion.ie.BaseLine.CkyAlg  - Max Vaule for:pi(0,1,ADJP) = [ADJP,,]
22:01:31,192 - [main] INFO  com.Technion.ie.BaseLine.CkyAlg  - value for pi(0,1,ADJP) :is-1.0
22:01:31,265 - [main] INFO  com.Technion.ie.BaseLine.CkyAlg  - checking:pi(0,1,NP+DET) = q(NP+DET->,)
22:01:31,267 - [main] INFO  com.Technion.ie.BaseLine.CkyAlg  - Max Vaule for:pi(0,1,NP+DET) = [NP+DET,,]
22:01:31,268 - [main] INFO  com.Technion.ie.BaseLine.CkyAlg  - value for pi(0,1,NP+DET) :is-1.0
22:01:31,358 - [main] INFO  com.Technion.ie.BaseLine.CkyAlg  - checking:pi(0,1,ADV) = q(ADV->,)
22:01:31,360 - [main] INFO  com.Technion.ie.BaseLine.CkyAlg  - Max Vaule for:pi(0,1,ADV) = [ADV,,]
22:01:31,361 - [main] INFO  com.Technion.ie.BaseLine.CkyAlg  - value for pi(0,1,ADV) :is-1.0
22:01:31,389 - [main] INFO  com.Technion.ie.BaseLine.CkyAlg  - checking:pi(0,1,VP+VERB) = q(VP+VERB->,)
22:01:31,390 - [main] INFO  com.Technion.ie.BaseLine.CkyAlg  - Max Vaule for:pi(0,1,VP+VERB) = [VP+VERB,,]
22:01:31,392 - [main] INFO  com.Technion.ie.BaseLine.CkyAlg  - value for pi(0,1,VP+VERB) :is-1.0
22:01:31,448 - [main] INFO  com.Technion.ie.BaseLine.CkyAlg  - checking:pi(0,1,NP+X) = q(NP+X->,)
22:01:31,450 - [main] INFO  com.Technion.ie.BaseLine.CkyAlg  - Max Vaule for:pi(0,1,NP+X) = [NP+X,,]
22:01:31,451 - [main] INFO  com.Technion.ie.BaseLine.CkyAlg  - value for pi(0,1,NP+X) :is-1.0
22:01:31,475 - [main] INFO  com.Technion.ie.BaseLine.CkyAlg  - checking:pi(0,2,SQ) = q(SQ->,)
22:01:31,477 - [main] INFO  com.Technion.ie.BaseLine.CkyAlg  - Max Vaule for:pi(0,2,SQ) = [SQ,,]
22:01:31,478 - [main] INFO  com.Technion.ie.BaseLine.CkyAlg  - value for pi(0,2,SQ) :is-1.0
22:01:31,520 - [main] INFO  com.Technion.ie.BaseLine.CkyAlg  - checking:pi(0,2,WHADVP) = q(WHADVP->,)
22:01:31,522 - [main] INFO  com.Technion.ie.BaseLine.CkyAlg  - Max Vaule for:pi(0,2,WHADVP) = [WHADVP,,]
22:01:31,523 - [main] INFO  com.Technion.ie.BaseLine.CkyAlg  - value for pi(0,2,WHADVP) :is-1.0
22:01:31,554 - [main] INFO  com.Technion.ie.BaseLine.CkyAlg  - checking:pi(0,2,WHADJP) = q(WHADJP->,)
22:01:31,555 - [main] INFO  com.Technion.ie.BaseLine.CkyAlg  - Max Vaule for:pi(0,2,WHADJP) = [WHADJP,,]
22:01:31,557 - [main] INFO  com.Technion.ie.BaseLine.CkyAlg  - value for pi(0,2,WHADJP) :is-1.0
22:01:31,900 - [main] INFO  com.Technion.ie.BaseLine.CkyAlg  - checking:pi(1,2,NP) = q(NP->NP+NOUN,VP+VERB)
22:01:31,902 - [main] INFO  com.Technion.ie.BaseLine.CkyAlg  - Max Vaule for:pi(1,2,NP) = [NP,[NP+NOUN,animal],[VP+VERB,do]]
22:01:31,904 - [main] INFO  com.Technion.ie.BaseLine.CkyAlg  - value for pi(1,2,NP) :is9.975543558390507E-9
22:01:31,909 - [main] INFO  com.Technion.ie.BaseLine.CkyAlg  - checking:pi(0,1,PRON) = q(PRON->,)
22:01:31,910 - [main] INFO  com.Technion.ie.BaseLine.CkyAlg  - Max Vaule for:pi(0,1,PRON) = [PRON,,]
22:01:31,912 - [main] INFO  com.Technion.ie.BaseLine.CkyAlg  - value for pi(0,1,PRON) :is-1.0
22:01:31,928 - [main] INFO  com.Technion.ie.BaseLine.CkyAlg  - checking:pi(0,1,ADJ) = q(ADJ->,)
22:01:31,929 - [main] INFO  com.Technion.ie.BaseLine.CkyAlg  - Max Vaule for:pi(0,1,ADJ) = [ADJ,,]
22:01:31,930 - [main] INFO  com.Technion.ie.BaseLine.CkyAlg  - value for pi(0,1,ADJ) :is-1.0
22:01:31,939 - [main] INFO  com.Technion.ie.BaseLine.CkyAlg  - checking:pi(0,1,NOUN) = q(NOUN->,)
22:01:31,942 - [main] INFO  com.Technion.ie.BaseLine.CkyAlg  - Max Vaule for:pi(0,1,NOUN) = [NOUN,,]
22:01:31,943 - [main] INFO  com.Technion.ie.BaseLine.CkyAlg  - value for pi(0,1,NOUN) :is-1.0
22:01:31,962 - [main] INFO  com.Technion.ie.BaseLine.CkyAlg  - checking:pi(1,2,NOUN) = q(NOUN->,)
22:01:31,964 - [main] INFO  com.Technion.ie.BaseLine.CkyAlg  - Max Vaule for:pi(1,2,NOUN) = [NOUN,,]
22:01:31,965 - [main] INFO  com.Technion.ie.BaseLine.CkyAlg  - value for pi(1,2,NOUN) :is-1.0
22:01:31,970 - [main] INFO  com.Technion.ie.BaseLine.CkyAlg  - checking:pi(0,1,DET) = q(DET->,)
22:01:31,972 - [main] INFO  com.Technion.ie.BaseLine.CkyAlg  - Max Vaule for:pi(0,1,DET) = [DET,,]
22:01:31,974 - [main] INFO  com.Technion.ie.BaseLine.CkyAlg  - value for pi(0,1,DET) :is-1.0
22:01:32,073 - [main] INFO  com.Technion.ie.BaseLine.CkyAlg  - checking:pi(1,2,WHNP) = q(WHNP->,)
22:01:32,074 - [main] INFO  com.Technion.ie.BaseLine.CkyAlg  - Max Vaule for:pi(1,2,WHNP) = [WHNP,,]
22:01:32,075 - [main] INFO  com.Technion.ie.BaseLine.CkyAlg  - value for pi(1,2,WHNP) :is-1.0
22:01:32,131 - [main] INFO  com.Technion.ie.BaseLine.CkyAlg  - checking:pi(1,2,S) = q(S->,)
22:01:32,133 - [main] INFO  com.Technion.ie.BaseLine.CkyAlg  - Max Vaule for:pi(1,2,S) = [S,,]
22:01:32,134 - [main] INFO  com.Technion.ie.BaseLine.CkyAlg  - value for pi(1,2,S) :is-1.0
22:01:32,177 - [main] INFO  com.Technion.ie.BaseLine.CkyAlg  - checking:pi(1,2,NP+NOUN) = q(NP+NOUN->,)
22:01:32,178 - [main] INFO  com.Technion.ie.BaseLine.CkyAlg  - Max Vaule for:pi(1,2,NP+NOUN) = [NP+NOUN,,]
22:01:32,180 - [main] INFO  com.Technion.ie.BaseLine.CkyAlg  - value for pi(1,2,NP+NOUN) :is-1.0
22:01:32,209 - [main] INFO  com.Technion.ie.BaseLine.CkyAlg  - checking:pi(0,2,WHNP) = q(WHNP->PRON,NP)
22:01:32,210 - [main] INFO  com.Technion.ie.BaseLine.CkyAlg  - Max Vaule for:pi(0,2,WHNP) = [WHNP,[PRON,What],[NP,[NP+NOUN,animal],[VP+VERB,do]]]
22:01:32,212 - [main] INFO  com.Technion.ie.BaseLine.CkyAlg  - value for pi(0,2,WHNP) :is3.602406369642911E-12
22:01:32,234 - [main] INFO  com.Technion.ie.BaseLine.CkyAlg  - checking:pi(0,2,WHNP+WHNP) = q(WHNP+WHNP->,)
22:01:32,236 - [main] INFO  com.Technion.ie.BaseLine.CkyAlg  - Max Vaule for:pi(0,2,WHNP+WHNP) = [WHNP+WHNP,,]
22:01:32,237 - [main] INFO  com.Technion.ie.BaseLine.CkyAlg  - value for pi(0,2,WHNP+WHNP) :is-1.0
22:01:32,301 - [main] INFO  com.Technion.ie.BaseLine.CkyAlg  - checking:pi(0,1,ADP) = q(ADP->,)
22:01:32,302 - [main] INFO  com.Technion.ie.BaseLine.CkyAlg  - Max Vaule for:pi(0,1,ADP) = [ADP,,]
22:01:32,303 - [main] INFO  com.Technion.ie.BaseLine.CkyAlg  - value for pi(0,1,ADP) :is-1.0
22:01:32,348 - [main] INFO  com.Technion.ie.BaseLine.CkyAlg  - checking:pi(1,2,S+VP) = q(S+VP->,)
22:01:32,349 - [main] INFO  com.Technion.ie.BaseLine.CkyAlg  - Max Vaule for:pi(1,2,S+VP) = [S+VP,,]
22:01:32,350 - [main] INFO  com.Technion.ie.BaseLine.CkyAlg  - value for pi(1,2,S+VP) :is-1.0
22:01:32,377 - [main] INFO  com.Technion.ie.BaseLine.CkyAlg  - checking:pi(0,2,SBAR) = q(SBAR->,)
22:01:32,378 - [main] INFO  com.Technion.ie.BaseLine.CkyAlg  - Max Vaule for:pi(0,2,SBAR) = [SBAR,,]
22:01:32,380 - [main] INFO  com.Technion.ie.BaseLine.CkyAlg  - value for pi(0,2,SBAR) :is-1.0
22:01:32,391 - [main] INFO  com.Technion.ie.BaseLine.CkyAlg  - checking:pi(0,2,.) = q(.->,)
22:01:32,392 - [main] INFO  com.Technion.ie.BaseLine.CkyAlg  - Max Vaule for:pi(0,2,.) = [.,,]
22:01:32,394 - [main] INFO  com.Technion.ie.BaseLine.CkyAlg  - value for pi(0,2,.) :is-1.0
22:01:32,629 - [main] INFO  com.Technion.ie.BaseLine.CkyAlg  - checking:pi(1,2,SQ) = q(SQ->NP+NOUN,VP+VERB)
22:01:32,631 - [main] INFO  com.Technion.ie.BaseLine.CkyAlg  - Max Vaule for:pi(1,2,SQ) = [SQ,[NP+NOUN,animal],[VP+VERB,do]]
22:01:32,632 - [main] INFO  com.Technion.ie.BaseLine.CkyAlg  - value for pi(1,2,SQ) :is3.230043613894614E-7
22:01:32,666 - [main] INFO  com.Technion.ie.BaseLine.CkyAlg  - checking:pi(1,2,WHADVP) = q(WHADVP->,)
22:01:32,668 - [main] INFO  com.Technion.ie.BaseLine.CkyAlg  - Max Vaule for:pi(1,2,WHADVP) = [WHADVP,,]
22:01:32,671 - [main] INFO  com.Technion.ie.BaseLine.CkyAlg  - value for pi(1,2,WHADVP) :is-1.0
22:01:32,704 - [main] INFO  com.Technion.ie.BaseLine.CkyAlg  - checking:pi(1,2,WHADJP) = q(WHADJP->,)
22:01:32,706 - [main] INFO  com.Technion.ie.BaseLine.CkyAlg  - Max Vaule for:pi(1,2,WHADJP) = [WHADJP,,]
22:01:32,709 - [main] INFO  com.Technion.ie.BaseLine.CkyAlg  - value for pi(1,2,WHADJP) :is-1.0
22:01:32,732 - [main] INFO  com.Technion.ie.BaseLine.CkyAlg  - checking:pi(1,2,WHNP+WHNP) = q(WHNP+WHNP->,)
22:01:32,734 - [main] INFO  com.Technion.ie.BaseLine.CkyAlg  - Max Vaule for:pi(1,2,WHNP+WHNP) = [WHNP+WHNP,,]
22:01:32,735 - [main] INFO  com.Technion.ie.BaseLine.CkyAlg  - value for pi(1,2,WHNP+WHNP) :is-1.0
22:01:32,791 - [main] INFO  com.Technion.ie.BaseLine.CkyAlg  - checking:pi(1,2,SBAR) = q(SBAR->,)
22:01:32,793 - [main] INFO  com.Technion.ie.BaseLine.CkyAlg  - Max Vaule for:pi(1,2,SBAR) = [SBAR,,]
22:01:32,794 - [main] INFO  com.Technion.ie.BaseLine.CkyAlg  - value for pi(1,2,SBAR) :is-1.0
22:01:32,803 - [main] INFO  com.Technion.ie.BaseLine.CkyAlg  - checking:pi(1,2,.) = q(.->,)
22:01:32,805 - [main] INFO  com.Technion.ie.BaseLine.CkyAlg  - Max Vaule for:pi(1,2,.) = [.,,]
22:01:32,806 - [main] INFO  com.Technion.ie.BaseLine.CkyAlg  - value for pi(1,2,.) :is-1.0
22:01:32,827 - [main] INFO  com.Technion.ie.BaseLine.CkyAlg  - checking:pi(1,2,WHNP+PRON) = q(WHNP+PRON->,)
22:01:32,829 - [main] INFO  com.Technion.ie.BaseLine.CkyAlg  - Max Vaule for:pi(1,2,WHNP+PRON) = [WHNP+PRON,,]
22:01:32,830 - [main] INFO  com.Technion.ie.BaseLine.CkyAlg  - value for pi(1,2,WHNP+PRON) :is-1.0
22:01:32,845 - [main] INFO  com.Technion.ie.BaseLine.CkyAlg  - checking:pi(1,2,WHNP+DET) = q(WHNP+DET->,)
22:01:32,846 - [main] INFO  com.Technion.ie.BaseLine.CkyAlg  - Max Vaule for:pi(1,2,WHNP+DET) = [WHNP+DET,,]
22:01:32,848 - [main] INFO  com.Technion.ie.BaseLine.CkyAlg  - value for pi(1,2,WHNP+DET) :is-1.0
22:01:32,857 - [main] INFO  com.Technion.ie.BaseLine.CkyAlg  - checking:pi(1,2,CONJ) = q(CONJ->,)
22:01:32,859 - [main] INFO  com.Technion.ie.BaseLine.CkyAlg  - Max Vaule for:pi(1,2,CONJ) = [CONJ,,]
22:01:32,860 - [main] INFO  com.Technion.ie.BaseLine.CkyAlg  - value for pi(1,2,CONJ) :is-1.0
22:01:32,894 - [main] INFO  com.Technion.ie.BaseLine.CkyAlg  - checking:pi(1,2,WHPP) = q(WHPP->,)
22:01:32,896 - [main] INFO  com.Technion.ie.BaseLine.CkyAlg  - Max Vaule for:pi(1,2,WHPP) = [WHPP,,]
22:01:32,897 - [main] INFO  com.Technion.ie.BaseLine.CkyAlg  - value for pi(1,2,WHPP) :is-1.0
22:01:32,906 - [main] INFO  com.Technion.ie.BaseLine.CkyAlg  - checking:pi(1,2,WHADVP+ADV) = q(WHADVP+ADV->,)
22:01:32,907 - [main] INFO  com.Technion.ie.BaseLine.CkyAlg  - Max Vaule for:pi(1,2,WHADVP+ADV) = [WHADVP+ADV,,]
22:01:32,908 - [main] INFO  com.Technion.ie.BaseLine.CkyAlg  - value for pi(1,2,WHADVP+ADV) :is-1.0
22:01:32,998 - [main] INFO  com.Technion.ie.BaseLine.CkyAlg  - checking:pi(1,2,PP) = q(PP->,)
22:01:33,000 - [main] INFO  com.Technion.ie.BaseLine.CkyAlg  - Max Vaule for:pi(1,2,PP) = [PP,,]
22:01:33,001 - [main] INFO  com.Technion.ie.BaseLine.CkyAlg  - value for pi(1,2,PP) :is-1.0
22:01:33,324 - [main] INFO  com.Technion.ie.BaseLine.CkyAlg  - checking:pi(1,2,VP) = q(VP->NP+NOUN,VP+VERB)
22:01:33,326 - [main] INFO  com.Technion.ie.BaseLine.CkyAlg  - Max Vaule for:pi(1,2,VP) = [VP,[NP+NOUN,animal],[VP+VERB,do]]
22:01:33,328 - [main] INFO  com.Technion.ie.BaseLine.CkyAlg  - value for pi(1,2,VP) :is2.989557356571202E-8
22:01:33,352 - [main] INFO  com.Technion.ie.BaseLine.CkyAlg  - checking:pi(1,3,SBARQ) = q(SBARQ->SQ,.)
22:01:33,353 - [main] INFO  com.Technion.ie.BaseLine.CkyAlg  - Max Vaule for:pi(1,3,SBARQ) = [SBARQ,[SQ,[NP+NOUN,animal],[VP+VERB,do]],[.,buffalo]]
22:01:33,356 - [main] INFO  com.Technion.ie.BaseLine.CkyAlg  - value for pi(1,3,SBARQ) :is4.692670344512567E-10
22:01:33,366 - [main] INFO  com.Technion.ie.BaseLine.CkyAlg  - checking:pi(0,2,WHNP+PRON) = q(WHNP+PRON->,)
22:01:33,368 - [main] INFO  com.Technion.ie.BaseLine.CkyAlg  - Max Vaule for:pi(0,2,WHNP+PRON) = [WHNP+PRON,,]
22:01:33,370 - [main] INFO  com.Technion.ie.BaseLine.CkyAlg  - value for pi(0,2,WHNP+PRON) :is-1.0
22:01:33,392 - [main] INFO  com.Technion.ie.BaseLine.CkyAlg  - checking:pi(0,2,WHNP+DET) = q(WHNP+DET->,)
22:01:33,393 - [main] INFO  com.Technion.ie.BaseLine.CkyAlg  - Max Vaule for:pi(0,2,WHNP+DET) = [WHNP+DET,,]
22:01:33,395 - [main] INFO  com.Technion.ie.BaseLine.CkyAlg  - value for pi(0,2,WHNP+DET) :is-1.0
22:01:33,406 - [main] INFO  com.Technion.ie.BaseLine.CkyAlg  - checking:pi(0,2,CONJ) = q(CONJ->,)
22:01:33,408 - [main] INFO  com.Technion.ie.BaseLine.CkyAlg  - Max Vaule for:pi(0,2,CONJ) = [CONJ,,]
22:01:33,409 - [main] INFO  com.Technion.ie.BaseLine.CkyAlg  - value for pi(0,2,CONJ) :is-1.0
22:01:33,541 - [main] INFO  com.Technion.ie.BaseLine.CkyAlg  - checking:pi(0,1,NP+NUM) = q(NP+NUM->,)
22:01:33,543 - [main] INFO  com.Technion.ie.BaseLine.CkyAlg  - Max Vaule for:pi(0,1,NP+NUM) = [NP+NUM,,]
